patient_id	label	beta	alpha_norm	alpha_pc1	alpha_pc2	alpha_pc3	alpha_pc4	alpha_pc5
RA_tissue_49	active	0.000205	0.964148	0.021650	-0.027576	0.028906	0.028894	-0.064534
RA_tissue_5	active	0.000277	0.966410	-0.030849	0.192389	0.067192	-0.061798	-0.046500
RA_tissue_50	active	0.000223	0.966688	0.089247	-0.051839	0.047049	0.023311	-0.004578
RA_tissue_51	active	0.000198	0.967855	0.107515	-0.110604	-0.072455	-0.010463	0.060477
RA_tissue_52	active	0.000215	0.962343	0.096559	-0.035348	0.036229	-0.027092	0.049809
RA_tissue_53	active	0.000183	0.970235	0.089535	-0.132960	0.005060	0.048881	0.019953
RA_tissue_54	active	0.000169	0.967870	0.034420	-0.022604	0.082124	-0.054690	0.040073
RA_tissue_55	active	0.000255	0.965276	0.113363	-0.152746	-0.010604	0.106415	-0.009474
RA_tissue_56	active	0.000174	0.965537	-0.003662	-0.093395	0.045863	-0.003178	-0.069224
RA_tissue_57	active	0.000174	0.971939	0.009878	0.022494	0.040542	-0.070736	-0.002776
RA_tissue_58	active	0.000124	0.961716	-0.010316	-0.099660	0.034429	-0.071891	-0.000544
RA_tissue_59	active	0.000208	0.962057	-0.018059	-0.009402	0.012364	0.051472	-0.043221
RA_tissue_6	active	0.000192	0.966438	0.094295	-0.103080	-0.012968	0.054773	-0.059133
RA_tissue_60	active	0.000142	0.967542	0.007046	-0.117801	-0.024508	-0.105554	0.055940
RA_tissue_61	active	0.000015	0.964001	-0.249766	-0.064060	0.141374	-0.157631	0.016014
RA_tissue_62	active	0.000165	0.960733	0.008811	-0.056027	0.094071	-0.051149	0.060292
RA_tissue_63	active	0.000144	0.970227	0.035883	-0.011238	-0.147530	-0.086510	-0.039017
RA_tissue_64	active	0.000186	0.968195	0.128469	-0.138661	0.053395	0.019492	0.021662
RA_tissue_65	active	0.000073	0.974494	-0.086818	0.041726	0.026565	-0.042416	-0.084004
RA_tissue_66	active	0.000252	0.965239	-0.006066	0.093156	0.050641	-0.037430	-0.016197
RA_tissue_67	active	0.000159	0.964289	0.044527	-0.045642	0.059372	-0.040494	0.032359
RA_tissue_68	active	0.000186	0.966201	-0.032365	0.090330	-0.000546	0.063045	-0.070798
RA_tissue_69	active	0.000165	0.974629	0.038768	-0.093361	0.067859	0.005311	0.077168
RA_tissue_7	active	0.000213	0.970457	-0.060285	0.161986	0.110824	-0.084910	-0.010584
RA_tissue_70	active	0.000205	0.964283	0.066203	-0.033737	-0.007945	0.054934	-0.016092
RA_tissue_71	active	0.000187	0.963923	0.014351	-0.006342	0.031736	-0.066533	0.037254
RA_tissue_72	active	0.000116	0.971031	-0.102179	0.014440	0.031359	-0.030461	-0.105404
RA_tissue_73	active	0.000216	0.968171	0.123079	-0.124766	-0.013986	0.051367	-0.055568
RA_tissue_74	active	0.000175	0.968625	0.115814	-0.123326	0.013773	0.067927	-0.027505
RA_tissue_75	active	0.000131	0.975145	0.017489	0.035777	-0.107494	-0.062866	-0.013664
RA_tissue_76	active	0.000154	0.970987	0.088093	-0.019446	-0.147797	-0.049822	0.031016
RA_tissue_77	active	0.000217	0.968508	0.074663	-0.063179	0.029500	0.004223	-0.006021
RA_tissue_78	active	0.000227	0.967924	0.047846	-0.025818	0.032968	-0.053630	-0.045947
RA_tissue_79	active	0.000218	0.968576	0.057289	-0.023085	-0.091307	-0.040933	0.017396
RA_tissue_8	active	0.000250	0.965412	-0.031024	0.179745	0.089663	-0.021547	0.020872
RA_tissue_80	active	0.000200	0.962536	0.048893	-0.027698	-0.088461	-0.070766	0.019564
RA_tissue_81	active	0.000187	0.972705	0.026797	0.011705	-0.092729	-0.115408	0.021756
RA_tissue_82	active	0.000170	0.965487	-0.008849	0.055411	0.079533	-0.072772	-0.047454
RA_tissue_83	active	0.000227	0.966158	0.063888	-0.043528	-0.097960	-0.042407	0.015380
RA_tissue_84	active	0.000120	0.968625	0.002892	-0.062527	-0.066543	-0.077241	0.085229
RA_tissue_85	active	0.000183	0.968773	0.015074	-0.069587	-0.133437	-0.079338	-0.048264
RA_tissue_86	active	0.000095	0.968250	-0.232435	-0.012348	0.039722	0.084956	-0.007175
RA_tissue_87	active	0.000212	0.965526	0.020423	-0.004167	0.017623	0.010473	-0.070805
RA_tissue_88	active	0.000142	0.971797	-0.062331	0.121420	-0.136534	-0.013333	-0.041343
RA_tissue_89	active	0.000217	0.965213	0.087091	0.004826	0.041880	-0.015789	0.029024
RA_tissue_9	active	0.000240	0.959045	0.079463	-0.038734	0.009172	0.050172	-0.007631
RA_tissue_90	active	0.000204	0.963109	0.064070	-0.070612	-0.082130	-0.014151	0.085634
RA_tissue_91	active	0.000226	0.967052	0.052649	-0.056564	0.021283	0.066358	0.037356
RA_tissue_92	active	0.000167	0.962679	-0.001847	0.002292	-0.098650	-0.173121	0.151195
RA_tissue_93	active	0.000186	0.968468	0.027648	0.011712	-0.035290	-0.128352	0.059193
RA_tissue_94	active	-0.000020	0.979704	-0.135918	-0.031278	-0.077165	-0.127162	-0.010707
RA_tissue_95	active	0.000090	0.971654	-0.102011	0.032951	0.112111	-0.043373	0.026460
RA_tissue_96	active	0.000178	0.961138	-0.017095	0.017084	0.070632	-0.112095	-0.015100
RA_tissue_97	active	0.000232	0.970678	0.025760	0.077836	-0.136859	-0.070772	-0.019672
RA_tissue_98	active	0.000123	0.966357	-0.048726	-0.012192	0.111494	-0.128020	0.073819
RA_tissue_99	active	0.000165	0.967743	-0.015269	-0.015641	0.047075	-0.000051	-0.007338
